Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss ($M),Affected Users,Incident Resolution Time (h),Loss per Affected User,Resolution Category,Loss norm,User norm,Res norm,Severity Score
China,2019,Phishing,Education,Hacker Group,Unpatched Software,VPN,80.53,773169,63,0.0,1-3 days,0.8044024525077897,0.7733551772348383,0.8732394366197183,0.80885566674829
China,2019,Ransomware,Retail,Hacker Group,Unpatched Software,Firewall,62.19,295961,71,0.0,1-3 days,0.6200623178208865,0.295770362816262,0.9859154929577465,0.5959453663468712
India,2017,Man-in-the-Middle,IT,Hacker Group,Weak Passwords,VPN,38.65,605895,20,0.0,Under a day,0.38345562368077196,0.6059490938350358,0.2676056338028169,0.4270336667514601
UK,2024,Ransomware,Telecommunications,Nation-state,Social Engineering,AI-based Detection,41.44,659320,7,0.0,Under a day,0.4114986430797065,0.6594162794444817,0.08450704225352113,0.420475613823902
Germany,2018,Man-in-the-Middle,IT,Insider,Social Engineering,VPN,74.41,810682,68,0.0,1-3 days,0.7428887325359332,0.8108977983629083,0.9436619718309859,0.8034461001430362
Germany,2017,Man-in-the-Middle,Retail,Unknown,Social Engineering,Antivirus,98.24,285201,25,0.0,1-3 days,0.9824102924917077,0.2850018664726469,0.3380281690140845,0.6443113399904649
Germany,2016,DDoS,Telecommunications,Insider,Unpatched Software,VPN,33.26,431262,34,0.0,1-3 days,0.3292793245552317,0.431178199599484,0.4647887323943662,0.38695086863633427
France,2018,SQL Injection,Government,Unknown,Social Engineering,Antivirus,59.23,909991,66,0.0,1-3 days,0.5903105839782893,0.9102852150346623,0.9154929577464789,0.7513394480488391
India,2016,Man-in-the-Middle,Banking,Unknown,Social Engineering,VPN,16.88,698249,47,0.0,1-3 days,0.16463966227761584,0.6983760186787376,0.647887323943662,0.42141010153116165
UK,2023,DDoS,Healthcare,Hacker Group,Unpatched Software,Firewall,69.14,685927,58,0.0,1-3 days,0.6899185847823902,0.6860442889439768,0.8028169014084507,0.7113359593560783
China,2019,Phishing,Telecommunications,Unknown,Zero-day,VPN,88.67,493675,29,0.0,1-3 days,0.8862197205749323,0.49364048234056673,0.39436619718309857,0.6700752444262559
China,2016,SQL Injection,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,38.81,920768,27,0.0,1-3 days,0.38506382551010154,0.9210707248018687,0.36619718309859156,0.5420925668153297
India,2019,Ransomware,Education,Insider,Zero-day,Firewall,30.56,583204,37,0.0,1-3 days,0.302140918685295,0.583240176499258,0.5070422535211268,0.4274509629966502
France,2023,DDoS,Healthcare,Nation-state,Unpatched Software,AI-based Detection,58.37,599797,35,0.0,1-3 days,0.5816664991456428,0.5998462787139053,0.4788732394366197,0.566561781074317
France,2024,DDoS,IT,Unknown,Social Engineering,Encryption,48.01,922258,64,0.0,1-3 days,0.4775354306965524,0.9225619013401574,0.8873239436619719,0.6930010744827177
Australia,2022,Phishing,Banking,Nation-state,Zero-day,Encryption,64.31,120789,36,0.0,1-3 days,0.6413709920595035,0.12046004297390642,0.49295774647887325,0.45541505821769834
Russia,2017,Man-in-the-Middle,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,13.04,850158,67,0.0,1-3 days,0.1260428183737059,0.850404969520952,0.9295774647887324,0.5040583930008851
